"Label"	"Spp"	"Chr"	"Start"	"End"
"Shannon"	"Brassica_H0-AT"	"Chr10"	" 7860000"	" 8975000"
"Shannon"	"Brassica_H0-AT"	"Chr2"	"20100000"	"21080000"
"Shannon"	"Brassica_H0-AT"	"Chr3"	"34480000"	"35355000"
"Shannon"	"Brassica_H0-AT"	"Chr4"	" 7775000"	" 8575000"
"Shannon"	"Brassica_H0-AT"	"Chr4"	"12245000"	"12370000"
"Shannon"	"Brassica_H0-AT"	"Chr4"	"12420000"	"13410000"
"Shannon"	"Brassica_H0-AT"	"Chr5"	"28850000"	"28870000"
"Shannon"	"Brassica_H0-AT"	"Chr5"	"28935000"	"28935000"
"Shannon"	"Brassica_H0-AT"	"Chr5"	"28980000"	"30510000"
"Shannon"	"Brassica_H0-AT"	"Chr6"	"16830000"	"17555000"
"Shannon"	"Brassica_H0-AT"	"Chr6"	"18690000"	"18720000"
"Shannon"	"Brassica_H0-AT"	"Chr6"	"18765000"	"19230000"
"Shannon"	"Brassica_H0-AT"	"Chr7"	" 6460000"	" 7570000"
"Shannon"	"Brassica_H0-AT"	"Chr7"	" 7625000"	" 7775000"
"Shannon"	"Brassica_H0-AT"	"Chr7"	" 7785000"	" 7805000"
"Shannon"	"Brassica_H0-AT"	"Chr7"	" 8870000"	" 8895000"
"Shannon"	"Brassica_H0-AT"	"Chr7"	" 9290000"	"10220000"
"Shannon"	"Brassica_H0-AT"	"Chr7"	"12195000"	"15065000"
"Shannon"	"Brassica_H0-AT"	"Chr8"	" 7475000"	" 8685000"
"Shannon"	"Brassica_H0-AT"	"Chr8"	"10780000"	"13665000"
"Shannon"	"Brassica_H0-AT"	"Chr9"	"47570000"	"47670000"
"Shannon"	"Brassica_H0-AT"	"Chr9"	"47715000"	"48490000"
"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"COLCEN_H0-AT"	"Chr1"	"14725000"	"17050000"
"MinRepeatAbund"	"COLCEN_H0-AT"	"Chr2"	" 4140000"	" 5735000"
"MinRepeatAbund"	"COLCEN_H0-AT"	"Chr3"	"13770000"	"15690000"
"MinRepeatAbund"	"COLCEN_H0-AT"	"Chr4"	" 4800000"	" 6275000"
"MinRepeatAbund"	"COLCEN_H0-AT"	"Chr5"	"11945000"	"14230000"
"Shannon"	"COLCEN_H0-AT"	"Chr1"	"14730000"	"17120000"
"Shannon"	"COLCEN_H0-AT"	"Chr2"	" 4055000"	" 5770000"
"Shannon"	"COLCEN_H0-AT"	"Chr3"	"13830000"	"15845000"
"Shannon"	"COLCEN_H0-AT"	"Chr4"	" 4765000"	" 6365000"
"Shannon"	"COLCEN_H0-AT"	"Chr5"	"11885000"	"14265000"
"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr1"	"13690000"	"13695000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr1"	"13705000"	"13950000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"23645000"	"23735000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"23765000"	"23765000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"23790000"	"23940000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"23950000"	"23955000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"24035000"	"24050000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"24145000"	"24150000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr3"	"15720000"	"17565000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr3"	"17625000"	"17640000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr3"	"17660000"	"17665000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr4"	"13865000"	"13865000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr4"	"14930000"	"14935000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr4"	"15000000"	"16340000"
"MinRepeatAbund"	"Draniv2_H0-AT"	"Chr4"	"16350000"	"17010000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr1"	" 5285000"	" 5305000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"12590000"	"12625000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"12635000"	"12705000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"12715000"	"12715000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr2"	"12730000"	"12965000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr5"	" 4020000"	" 4020000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr5"	" 4230000"	" 4230000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr5"	" 4245000"	" 4245000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr5"	" 4270000"	" 4305000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr5"	" 5045000"	" 5080000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr6"	" 7900000"	" 7905000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr6"	" 7920000"	" 7920000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr6"	" 7930000"	" 7975000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr7"	" 4140000"	" 4150000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr7"	" 4160000"	" 4185000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr7"	" 4200000"	" 4225000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr7"	" 4235000"	" 4310000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr7"	" 4320000"	" 4325000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr7"	" 8890000"	" 8890000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr8"	"29300000"	"29370000"
"MaxRepeatAbund"	"Draniv2_H0-AT"	"Chr8"	"29380000"	"29380000"
"Shannon"	"Draniv2_H0-AT"	"Chr1"	" 3565000"	" 3565000"
"Shannon"	"Draniv2_H0-AT"	"Chr1"	" 3605000"	" 4865000"
"Shannon"	"Draniv2_H0-AT"	"Chr1"	" 4915000"	" 4940000"
"Shannon"	"Draniv2_H0-AT"	"Chr2"	"18190000"	"18215000"
"Shannon"	"Draniv2_H0-AT"	"Chr2"	"18635000"	"18635000"
"Shannon"	"Draniv2_H0-AT"	"Chr2"	"18745000"	"18755000"
"Shannon"	"Draniv2_H0-AT"	"Chr2"	"19260000"	"19260000"
"Shannon"	"Draniv2_H0-AT"	"Chr2"	"19305000"	"19310000"
"Shannon"	"Draniv2_H0-AT"	"Chr2"	"38785000"	"38815000"
"Shannon"	"Draniv2_H0-AT"	"Chr3"	"16680000"	"16690000"
"Shannon"	"Draniv2_H0-AT"	"Chr3"	"16725000"	"16735000"
"Shannon"	"Draniv2_H0-AT"	"Chr3"	"16880000"	"16880000"
"Shannon"	"Draniv2_H0-AT"	"Chr3"	"16895000"	"16900000"
"Shannon"	"Draniv2_H0-AT"	"Chr3"	"16910000"	"16910000"
"Shannon"	"Draniv2_H0-AT"	"Chr3"	"16940000"	"17070000"
"Shannon"	"Draniv2_H0-AT"	"Chr3"	"17080000"	"17770000"
"Shannon"	"Draniv2_H0-AT"	"Chr4"	" 1250000"	" 1955000"
"Shannon"	"Draniv2_H0-AT"	"Chr4"	" 1965000"	" 2025000"
"Shannon"	"Draniv2_H0-AT"	"Chr4"	" 2045000"	" 2135000"
"Shannon"	"Draniv2_H0-AT"	"Chr4"	" 2295000"	" 2680000"
"Shannon"	"Draniv2_H0-AT"	"Chr4"	" 2690000"	" 2695000"
"Shannon"	"Draniv2_H0-AT"	"Chr4"	" 2705000"	" 2705000"
"Shannon"	"Draniv2_H0-AT"	"Chr4"	" 2730000"	" 2815000"
"Shannon"	"Draniv2_H0-AT"	"Chr5"	" 1250000"	" 1445000"
"Shannon"	"Draniv2_H0-AT"	"Chr5"	" 1460000"	" 1530000"
"Shannon"	"Draniv2_H0-AT"	"Chr5"	"11345000"	"11345000"
"Shannon"	"Draniv2_H0-AT"	"Chr5"	"21565000"	"21605000"
"Shannon"	"Draniv2_H0-AT"	"Chr5"	"21615000"	"21770000"
"Shannon"	"Draniv2_H0-AT"	"Chr5"	"21810000"	"22025000"
"Shannon"	"Draniv2_H0-AT"	"Chr5"	"22195000"	"22260000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	" 1310000"	" 1330000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"29260000"	"29260000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"29270000"	"29310000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"29330000"	"29330000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"29340000"	"29340000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"29355000"	"29385000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"29395000"	"29735000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"30870000"	"30875000"
"Shannon"	"Draniv2_H0-AT"	"Chr6"	"31040000"	"31045000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"25435000"	"25450000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"25475000"	"25475000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"25530000"	"25540000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"25565000"	"25565000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"25590000"	"25595000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"25615000"	"26185000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"26240000"	"26445000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"26455000"	"26495000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"26510000"	"27145000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"27155000"	"27245000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"27255000"	"27255000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"27265000"	"27275000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"27295000"	"27305000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"27325000"	"27325000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"27405000"	"27415000"
"Shannon"	"Draniv2_H0-AT"	"Chr7"	"27775000"	"27775000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	" 7325000"	" 7325000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14285000"	"14285000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14385000"	"14470000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14490000"	"14505000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14520000"	"14710000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14720000"	"14720000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14730000"	"14730000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14745000"	"14745000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14800000"	"14830000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"14840000"	"15135000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"15210000"	"15210000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"15240000"	"15320000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"33495000"	"33630000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"33640000"	"33655000"
"Shannon"	"Draniv2_H0-AT"	"Chr8"	"33665000"	"33750000"
"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"Dryoct_H0-AT"	"Chr2"	" 6645000"	" 6860000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr1"	"26480000"	"27330000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr2"	" 8135000"	" 8810000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr3"	"16830000"	"16900000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr3"	"16910000"	"16910000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr3"	"16920000"	"16920000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr4"	" 4690000"	" 5340000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr5"	" 1695000"	" 2635000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr6"	"11560000"	"11565000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr6"	"11590000"	"11600000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr7"	"16840000"	"17670000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr8"	"16785000"	"17390000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr8"	"17405000"	"17405000"
"MaxRepeatAbund"	"Dryoct_H0-AT"	"Chr9"	" 2695000"	" 2995000"
"Shannon"	"Dryoct_H0-AT"	"Chr1"	"25445000"	"27740000"
"Shannon"	"Dryoct_H0-AT"	"Chr1"	"27765000"	"27770000"
"Shannon"	"Dryoct_H0-AT"	"Chr2"	" 7375000"	" 7375000"
"Shannon"	"Dryoct_H0-AT"	"Chr2"	" 7465000"	" 9500000"
"Shannon"	"Dryoct_H0-AT"	"Chr3"	"20800000"	"20885000"
"Shannon"	"Dryoct_H0-AT"	"Chr3"	"20905000"	"20905000"
"Shannon"	"Dryoct_H0-AT"	"Chr3"	"20965000"	"20985000"
"Shannon"	"Dryoct_H0-AT"	"Chr3"	"27020000"	"27020000"
"Shannon"	"Dryoct_H0-AT"	"Chr3"	"27220000"	"27220000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 2290000"	" 2300000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 2325000"	" 2325000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 2340000"	" 3265000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4070000"	" 4085000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4095000"	" 4135000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4200000"	" 4220000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4265000"	" 4270000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4280000"	" 4450000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4460000"	" 4670000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4700000"	" 4725000"
"Shannon"	"Dryoct_H0-AT"	"Chr4"	" 4735000"	" 4750000"
"Shannon"	"Dryoct_H0-AT"	"Chr5"	" 1250000"	" 2210000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15255000"	"15340000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15355000"	"15360000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15375000"	"15375000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15385000"	"15400000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15410000"	"15425000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15450000"	"15455000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15540000"	"15605000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15620000"	"15625000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15805000"	"15805000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15815000"	"15815000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"15865000"	"15870000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"16335000"	"16440000"
"Shannon"	"Dryoct_H0-AT"	"Chr6"	"16705000"	"17180000"
"Shannon"	"Dryoct_H0-AT"	"Chr7"	"16260000"	"16280000"
"Shannon"	"Dryoct_H0-AT"	"Chr7"	"16290000"	"17890000"
"Shannon"	"Dryoct_H0-AT"	"Chr7"	"17905000"	"18110000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"16190000"	"16190000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"16200000"	"16225000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"16235000"	"17600000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17610000"	"17610000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17625000"	"17625000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17635000"	"17675000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17695000"	"17705000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17745000"	"17745000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17760000"	"17785000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17805000"	"17805000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17840000"	"17840000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17900000"	"17960000"
"Shannon"	"Dryoct_H0-AT"	"Chr8"	"17990000"	"18050000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 2630000"	" 2660000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 2670000"	" 2675000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 2690000"	" 2710000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 2720000"	" 2720000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 2730000"	" 2730000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 2745000"	" 2760000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 2835000"	" 3005000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 3015000"	" 3015000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 3025000"	" 3065000"
"Shannon"	"Dryoct_H0-AT"	"Chr9"	" 3085000"	" 3140000"
"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"DryOcto_H0-AT"	"Chr2"	" 6645000"	" 6860000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr1"	"26480000"	"27330000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr2"	" 8135000"	" 8810000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr3"	"16830000"	"16900000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr3"	"16910000"	"16910000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr3"	"16920000"	"16920000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr4"	" 4690000"	" 5340000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr5"	" 1695000"	" 2635000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr6"	"11560000"	"11565000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr6"	"11590000"	"11600000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr7"	"16840000"	"17670000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr8"	"16785000"	"17390000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr8"	"17405000"	"17405000"
"MaxRepeatAbund"	"DryOcto_H0-AT"	"Chr9"	" 2695000"	" 2995000"
"Shannon"	"DryOcto_H0-AT"	"Chr1"	"25445000"	"27740000"
"Shannon"	"DryOcto_H0-AT"	"Chr1"	"27765000"	"27770000"
"Shannon"	"DryOcto_H0-AT"	"Chr2"	" 7375000"	" 7375000"
"Shannon"	"DryOcto_H0-AT"	"Chr2"	" 7465000"	" 9500000"
"Shannon"	"DryOcto_H0-AT"	"Chr3"	"20800000"	"20885000"
"Shannon"	"DryOcto_H0-AT"	"Chr3"	"20905000"	"20905000"
"Shannon"	"DryOcto_H0-AT"	"Chr3"	"20965000"	"20985000"
"Shannon"	"DryOcto_H0-AT"	"Chr3"	"27020000"	"27020000"
"Shannon"	"DryOcto_H0-AT"	"Chr3"	"27220000"	"27220000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 2290000"	" 2300000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 2325000"	" 2325000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 2340000"	" 3265000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4070000"	" 4085000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4095000"	" 4135000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4200000"	" 4220000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4265000"	" 4270000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4280000"	" 4450000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4460000"	" 4670000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4700000"	" 4725000"
"Shannon"	"DryOcto_H0-AT"	"Chr4"	" 4735000"	" 4750000"
"Shannon"	"DryOcto_H0-AT"	"Chr5"	" 1250000"	" 2210000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15255000"	"15340000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15355000"	"15360000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15375000"	"15375000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15385000"	"15400000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15410000"	"15425000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15450000"	"15455000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15540000"	"15605000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15620000"	"15625000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15805000"	"15805000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15815000"	"15815000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"15865000"	"15870000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"16335000"	"16440000"
"Shannon"	"DryOcto_H0-AT"	"Chr6"	"16705000"	"17180000"
"Shannon"	"DryOcto_H0-AT"	"Chr7"	"16260000"	"16280000"
"Shannon"	"DryOcto_H0-AT"	"Chr7"	"16290000"	"17890000"
"Shannon"	"DryOcto_H0-AT"	"Chr7"	"17905000"	"18110000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"16190000"	"16190000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"16200000"	"16225000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"16235000"	"17600000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17610000"	"17610000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17625000"	"17625000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17635000"	"17675000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17695000"	"17705000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17745000"	"17745000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17760000"	"17785000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17805000"	"17805000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17840000"	"17840000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17900000"	"17960000"
"Shannon"	"DryOcto_H0-AT"	"Chr8"	"17990000"	"18050000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 2630000"	" 2660000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 2670000"	" 2675000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 2690000"	" 2710000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 2720000"	" 2720000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 2730000"	" 2730000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 2745000"	" 2760000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 2835000"	" 3005000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 3015000"	" 3015000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 3025000"	" 3065000"
"Shannon"	"DryOcto_H0-AT"	"Chr9"	" 3085000"	" 3140000"
"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	"129040000"	"132275000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr2"	" 94455000"	" 97700000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 99355000"	"101930000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"101945000"	"101980000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"104620000"	"104690000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"104720000"	"104720000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"104740000"	"104765000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"104775000"	"105050000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105060000"	"105075000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105150000"	"105180000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105200000"	"105215000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105230000"	"105230000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105240000"	"105245000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105265000"	"105285000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105295000"	"105295000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105375000"	"105485000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105505000"	"105505000"
